filename,trait
legs-01-01.svg,Guided
legs-01-02.svg,Rooted
legs-01-03.svg,Inclusive
legs-01-04.svg,Flourishing
legs-01-05.svg,Peaceful
legs-02-01.svg,Lively
legs-02-02.svg,Cheerful
legs-02-03.svg,Flowing
legs-02-04.svg,Directed
legs-02-05.svg,Serene
legs-03-01.svg,Renewable
legs-03-02.svg,Nurturing
legs-03-03.svg,Harmonious
legs-03-04.svg,Transformative
legs-03-05.svg,Resilient
legs-04-01.svg,Accessible
legs-04-02.svg,Sustainable
legs-04-03.svg,Inventive
legs-04-04.svg,Inclusive
legs-04-05.svg,Intelligent
legs-05-01.svg,Active
legs-05-02.svg,Vibrant
legs-05-03.svg,Serene
legs-05-04.svg,Cultivated
legs-05-05.svg,Guided
