filename,trait
shoes-01-01.svg,Inclusive
shoes-01-02.svg,Flowing
shoes-01-03.svg,Peaceful
shoes-01-04.svg,Cheerful
shoes-01-05.svg,Directed
shoes-02-01.svg,Nurturing
shoes-02-02.svg,Inventive
shoes-02-03.svg,Harmonious
shoes-02-04.svg,Vibrant
shoes-02-05.svg,Serene
shoes-03-01.svg,Flourishing
shoes-03-02.svg,Guided
shoes-03-03.svg,Connected
shoes-03-04.svg,Renewable
shoes-03-05.svg,Sustainable
shoes-04-01.svg,Cultivated
shoes-04-02.svg,Active
shoes-04-03.svg,Lively
shoes-04-04.svg,Resilient
shoes-04-05.svg,Intelligent
shoes-05-01.svg,Cheerful
shoes-05-02.svg,Nourishing
shoes-05-03.svg,Accessible
shoes-05-04.svg,Transformative
shoes-05-05.svg,Rooted
