filename,trait
torso-01-01.svg,Serene
torso-01-02.svg,Nurturing
torso-01-03.svg,Inventive
torso-01-04.svg,Peaceful
torso-01-05.svg,Intelligent
torso-02-01.svg,Cultivated
torso-02-02.svg,Cheerful
torso-02-03.svg,Inclusive
torso-02-04.svg,Directed
torso-02-05.svg,Sustainable
torso-03-01.svg,Resilient
torso-03-02.svg,Intelligent
torso-03-03.svg,Inventive
torso-03-04.svg,Flowing
torso-03-05.svg,Transformative
torso-04-01.svg,Guided
torso-04-02.svg,Renewable
torso-04-03.svg,Harmonious
torso-04-04.svg,Accessible
torso-04-05.svg,Connected
torso-05-01.svg,Lively
torso-05-02.svg,Vibrant
torso-05-03.svg,Transformative
torso-05-04.svg,Active
torso-05-05.svg,Nourishing
