filename,trait
hair-hat-01-01.svg,Precision
hair-hat-01-02.svg,Humanity
hair-hat-01-03.svg,Energy
hair-hat-01-04.svg,Sustainability
hair-hat-01-05.svg,Versatility
hair-hat-02-01.svg,Playfulness
hair-hat-02-02.svg,Balance
hair-hat-02-03.svg,Clarity
hair-hat-02-04.svg,Resilience
hair-hat-02-05.svg,Curiosity
hair-hat-03-01.svg,Focus
hair-hat-03-02.svg,Agility
hair-hat-03-03.svg,Rhythm
hair-hat-03-04.svg,Empathy
hair-hat-03-05.svg,Inventiveness
hair-hat-04-01.svg,Connectivity
hair-hat-04-02.svg,Synergy
hair-hat-04-03.svg,Adaptability
hair-hat-04-04.svg,Continuity
hair-hat-04-05.svg,Openness
hair-hat-05-01.svg,Clarity
hair-hat-05-02.svg,Harmony
hair-hat-05-03.svg,Ingenuity
hair-hat-05-04.svg,Precision
hair-hat-05-05.svg,Inclusivity
