filename,trait
legs-01-01.svg,Momentum
legs-01-02.svg,Flexibility
legs-01-03.svg,Drive
legs-01-04.svg,Balance
legs-01-05.svg,Exploration
legs-02-01.svg,Pace
legs-02-02.svg,Adaptability
legs-02-03.svg,Initiative
legs-02-04.svg,Focus
legs-02-05.svg,Reach
legs-03-01.svg,Navigation
legs-03-02.svg,Resilience
legs-03-03.svg,Purpose
legs-03-04.svg,Discovery
legs-03-05.svg,Freedom
legs-04-01.svg,Exploration
legs-04-02.svg,Alignment
legs-04-03.svg,Endurance
legs-04-04.svg,Support
legs-04-05.svg,Initiation
legs-05-01.svg,Steadiness
legs-05-02.svg,Mobility
legs-05-03.svg,Courage
legs-05-04.svg,Stability
legs-05-05.svg,Perspective
