filename,trait
shoes-01-01.svg,Agility
shoes-01-02.svg,Confidence
shoes-01-03.svg,Determination
shoes-01-04.svg,Stamina
shoes-01-05.svg,Curiosity
shoes-02-01.svg,Agility
shoes-02-02.svg,Confidence
shoes-02-03.svg,Determination
shoes-02-04.svg,Stamina
shoes-02-05.svg,Curiosity
shoes-03-01.svg,Agility
shoes-03-02.svg,Confidence
shoes-03-03.svg,Determination
shoes-03-04.svg,Stamina
shoes-03-05.svg,Curiosity
shoes-04-01.svg,Agility
shoes-04-02.svg,Confidence
shoes-04-03.svg,Determination
shoes-04-04.svg,Stamina
shoes-04-05.svg,Curiosity
shoes-05-01.svg,Agility
shoes-05-02.svg,Confidence
shoes-05-03.svg,Determination
shoes-05-04.svg,Stamina
shoes-05-05.svg,Curiosity
