filename,trait
torso-01-01.svg,Strength
torso-01-02.svg,Structure
torso-01-03.svg,Flow
torso-01-04.svg,Support
torso-01-05.svg,Stability
torso-02-01.svg,Movement
torso-02-02.svg,Precision
torso-02-03.svg,Connectivity
torso-02-04.svg,Functionality
torso-02-05.svg,Integrity
torso-03-01.svg,Modularity
torso-03-02.svg,Expression
torso-03-03.svg,Symmetry
torso-03-04.svg,Transparency
torso-03-05.svg,Security
torso-04-01.svg,Interconnection
torso-04-02.svg,Play
torso-04-03.svg,Flowstate
torso-04-04.svg,Balance
torso-04-05.svg,Uplift
torso-05-01.svg,Supportive
torso-05-02.svg,Creative
torso-05-03.svg,Durable
torso-05-04.svg,Grounded
torso-05-05.svg,Open-minded
